LearningRate,ExplorationFactor,DiscountFactor,TrainingTime,TotalRewards,TotalSteps,TotalCompleted,AvgRewards,AvgSteps,TotalEpisodes
0.1,0.1,0.9,3.8192710876464844,56,742,50,1.12,14.84,50
0.1,0.1,0.8,4.961675405502319,153,726,50,3.06,14.52,50
0.1,0.2,0.9,4.5550055503845215,-380,845,50,-7.6,16.9,50
0.1,0.2,0.8,5.805219411849976,-177,831,50,-3.54,16.62,50
0.1,0.3,0.9,5.651854991912842,-786,1008,50,-15.72,20.16,50
0.1,0.3,0.8,5.311194896697998,-749,980,50,-14.98,19.6,50
0.01,0.1,0.9,18.42056941986084,-4862,4046,13,-97.24,80.92,50
0.01,0.1,0.8,20.241182327270508,-5573,4421,9,-111.46,88.42,50
0.01,0.2,0.9,19.010517597198486,-4509,3303,24,-90.18,66.06,50
0.01,0.2,0.8,19.059205055236816,-5727,3741,19,-114.54,74.82,50
0.01,0.3,0.9,19.558380126953125,-6205,3472,19,-124.1,69.44,50
0.01,0.3,0.8,22.00910520553589,-5915,3359,24,-118.3,67.18,50
0.001,0.1,0.9,68.43571162223816,-6980,5000,0,-139.6,100.0,50
0.001,0.1,0.8,65.52890348434448,-6374,5000,1,-127.48,100.0,50
0.001,0.2,0.9,63.081735610961914,-7826,5000,0,-156.52,100.0,50
0.001,0.2,0.8,71.84375071525574,-8060,5000,0,-161.2,100.0,50
0.001,0.3,0.9,73.50408172607422,-9356,4949,1,-187.12,98.98,50
0.001,0.3,0.8,77.38440895080566,-9250,4864,2,-185.0,97.28,50
0.2,0.1,0.9,3.6893293857574463,54,762,50,1.08,15.24,50
0.2,0.1,0.8,4.340057611465454,187,701,50,3.74,14.02,50
0.2,0.2,0.9,3.7404277324676514,-402,858,50,-8.04,17.16,50
0.2,0.2,0.8,3.8621277809143066,-177,804,50,-3.54,16.08,50
0.2,0.3,0.9,4.70310378074646,-855,1005,50,-17.1,20.1,50
0.2,0.3,0.8,3.6031811237335205,-764,977,50,-15.28,19.54,50
